model,fs_method,k,accuracy,fmeasure,precision,recall,roc
lr,nofs,13,0.8051412429378532,0.7833104732246083,0.8450480531780954,0.8051412429378532,0.9134672619047619
nb,nofs,13,0.7879661016949152,0.7682673009025651,0.8278997955679632,0.7879661016949152,0.8739500661375661
knn,nofs,13,0.8014689265536722,0.7938319603398991,0.8274285915596991,0.8014689265536722,0.8534928902116402
rf,nofs,13,0.7375706214689266,0.7067711054918268,0.7753403169837625,0.7375706214689266,0.843225033068783
dt,nofs,13,0.7070056497175141,0.6645485949671691,0.7870951893233415,0.7070056497175141,0.710681216931217
lr,corr,1,0.7580790960451977,0.7550172653831975,0.7633146029116145,0.7580790960451977,0.7679935515873018
nb,corr,1,0.7445197740112994,0.7400893557251533,0.7497298067557966,0.7445197740112994,0.7679935515873018
knn,corr,1,0.7212994350282486,0.6958943902836674,0.7234572061925447,0.7212994350282486,0.7257399140211641
rf,corr,1,0.7647457627118645,0.7635260365285884,0.7674419545081863,0.7647457627118645,0.7679935515873018
dt,corr,1,0.7647457627118645,0.7635260365285884,0.7674419545081863,0.7647457627118645,0.7679935515873018
lr,tree,1,0.7580790960451977,0.7550172653831975,0.7633146029116145,0.7580790960451977,0.7679935515873018
nb,tree,1,0.7445197740112994,0.7400893557251533,0.7497298067557966,0.7445197740112994,0.7679935515873018
knn,tree,1,0.7212994350282486,0.6958943902836674,0.7234572061925447,0.7212994350282486,0.7257399140211641
rf,tree,1,0.7647457627118645,0.7635260365285884,0.7674419545081863,0.7647457627118645,0.7679935515873018
dt,tree,1,0.7647457627118645,0.7635260365285884,0.7674419545081863,0.7647457627118645,0.7679935515873018
lr,var,1,0.5792090395480225,0.5783215130285819,0.5826063131558097,0.5792090395480225,0.585147982804233
nb,var,1,0.5792090395480225,0.5783215130285819,0.5826063131558097,0.5792090395480225,0.585147982804233
knn,var,1,0.5388135593220339,0.38313152171663595,0.3819748894106045,0.5388135593220339,0.52999751984127
rf,var,1,0.5792655367231638,0.5783017903665142,0.5833964487131301,0.5792655367231638,0.5848255621693121
dt,var,1,0.5792655367231638,0.5783017903665142,0.5833964487131301,0.5792655367231638,0.5848255621693121
lr,lrs,1,0.744180790960452,0.7385018925710533,0.7543453818505784,0.744180790960452,0.7530629960317461
nb,lrs,1,0.6899435028248588,0.6650009471806542,0.7138845722106973,0.6899435028248588,0.7530629960317461
knn,lrs,1,0.7238418079096045,0.7067606208049663,0.7494996829912084,0.7238418079096045,0.7494543650793651
rf,lrs,1,0.744180790960452,0.7385018925710533,0.7543453818505784,0.744180790960452,0.7505828373015874
dt,lrs,1,0.744180790960452,0.7385018925710533,0.7543453818505784,0.744180790960452,0.7505828373015874
lr,rfe,1,0.6870056497175142,0.6769470434487049,0.6916830141377324,0.6870056497175142,0.7465236441798941
nb,rfe,1,0.6871186440677967,0.6766332408164601,0.6922601890259686,0.6871186440677967,0.7465236441798941
knn,rfe,1,0.6598305084745764,0.6555603127685778,0.6616555144666763,0.6598305084745764,0.6701802248677249
rf,rfe,1,0.6025988700564973,0.6015954194907062,0.6027747273411659,0.6025988700564973,0.6330563822751323
dt,rfe,1,0.639774011299435,0.6334519719162536,0.6406864594761271,0.639774011299435,0.6105324074074074
lr,bor,1,0.5922598870056498,0.5475470482118272,0.5281107502666825,0.5922598870056498,0.6386367394179894
nb,bor,1,0.5346892655367231,0.481636188260899,0.5362824442656755,0.5346892655367231,0.6585028108465608
knn,bor,1,0.43067796610169495,0.38572821915930505,0.39541262920529907,0.43067796610169495,0.3868964947089947
rf,bor,1,0.4438983050847458,0.4089663688192525,0.42650916661852917,0.4438983050847458,0.338045634920635
dt,bor,1,0.4034463276836158,0.36227433318133956,0.3554168702205834,0.4034463276836158,0.34789186507936504
lr,lass,1,0.7580790960451977,0.7550172653831975,0.7633146029116145,0.7580790960451977,0.7679935515873018
nb,lass,1,0.7445197740112994,0.7400893557251533,0.7497298067557966,0.7445197740112994,0.7679935515873018
knn,lass,1,0.7212994350282486,0.6958943902836674,0.7234572061925447,0.7212994350282486,0.7257399140211641
