model,fs_method,k,accuracy,fmeasure,precision,recall,roc
lr,nofs,10,0.9576291701181926,0.9374811737187129,0.9296651759756086,0.9576291701181926,0.8439561865223515
nb,nofs,10,0.8718708413003897,0.8996447222674325,0.9363017387876337,0.8718708413003897,0.8205544023525342
knn,nofs,10,0.9570181721548525,0.9378836734084558,0.9272131415143106,0.9570181721548525,0.6085385622853189
rf,nofs,10,0.9566106325687036,0.9373382261259359,0.9284745053660741,0.9566106325687036,0.790734672696271
dt,nofs,10,0.9189243280164261,0.9222818231325352,0.9257982598557956,0.9189243280164261,0.5484210591346035
lr,corr,1,0.9574252965198238,0.9366009929408434,0.9166633507563346,0.9574252965198238,0.8356192700224874
nb,corr,1,0.9574252965198238,0.9366009929408434,0.9166633507563346,0.9574252965198238,0.8358787407023007
knn,corr,1,0.7282589153177168,0.8090858119372928,0.9454269724276776,0.7282589153177168,0.794332480786814
rf,corr,1,0.9574252965198238,0.9366009929408434,0.9166633507563346,0.9574252965198238,0.8114070106506537
dt,corr,1,0.9574252965198238,0.9366009929408434,0.9166633507563346,0.9574252965198238,0.8128290335334963
lr,tree,1,0.9574252965198238,0.9366009929408434,0.9166633507563346,0.9574252965198238,0.8356192700224874
nb,tree,1,0.9574252965198238,0.9366009929408434,0.9166633507563346,0.9574252965198238,0.8358787407023007
knn,tree,1,0.7282589153177168,0.8090858119372928,0.9454269724276776,0.7282589153177168,0.794332480786814
rf,tree,1,0.9574252965198238,0.9366009929408434,0.9166633507563346,0.9574252965198238,0.8133329008822002
dt,tree,1,0.9574252965198238,0.9366009929408434,0.9166633507563346,0.9574252965198238,0.8128290335334963
lr,var,1,0.9574252965198238,0.9366009929408434,0.9166633507563346,0.9574252965198238,0.535093471223466
nb,var,1,0.9574252965198238,0.9366009929408434,0.9166633507563346,0.9574252965198238,0.542612931524452
knn,var,1,0.18333800457158517,0.24958597892872678,0.9582223868224388,0.18333800457158517,0.5714870141102628
rf,var,1,0.9574252965198238,0.9366009929408434,0.9166633507563346,0.9574252965198238,0.5921672597425063
dt,var,1,0.9574252965198238,0.9366009929408434,0.9166633507563346,0.9574252965198238,0.5921672597425063
lr,lrs,1,0.9574252965198238,0.9366009929408434,0.9166633507563346,0.9574252965198238,0.8356192700224874
nb,lrs,1,0.9574252965198238,0.9366009929408434,0.9166633507563346,0.9574252965198238,0.8358787407023007
knn,lrs,1,0.7282589153177168,0.8090858119372928,0.9454269724276776,0.7282589153177168,0.794332480786814
rf,lrs,1,0.9574252965198238,0.9366009929408434,0.9166633507563346,0.9574252965198238,0.8117390095633479
dt,lrs,1,0.9574252965198238,0.9366009929408434,0.9166633507563346,0.9574252965198238,0.8128290335334963
lr,rfe,1,0.9574252965198238,0.9366009929408434,0.9166633507563346,0.9574252965198238,0.6262188326290558
nb,rfe,1,0.9502953260628105,0.9367778299700374,0.9279622835721459,0.9502953260628105,0.6184002397014852
knn,rfe,1,0.9570175493230856,0.9367905033998583,0.9253794202328625,0.9570175493230856,0.5159340944473275
rf,rfe,1,0.9240163929321051,0.921054906399273,0.918216311661651,0.9240163929321051,0.5181115476808263
dt,rfe,1,0.9240163929321051,0.9208549174736612,0.9178124411032188,0.9240163929321051,0.4931372476338745
lr,bor,1,0.9574252965198238,0.9366009929408434,0.9166633507563346,0.9574252965198238,0.8356192700224874
nb,bor,1,0.9574252965198238,0.9366009929408434,0.9166633507563346,0.9574252965198238,0.8358787407023007
